"","X600066","X000550","X600031","X000157"
"1994-01-01",NA,-0.14094,NA,NA
"1994-02-01",NA,0.054688,NA,NA
"1994-03-01",NA,-0.22963,NA,NA
"1994-04-01",NA,-0.165385,NA,NA
"1994-05-01",NA,0,NA,NA
"1994-06-01",NA,-0.177465,NA,NA
"1994-07-01",NA,-0.267123,NA,NA
"1994-08-01",NA,0.728972,NA,NA
"1994-09-01",NA,0.124324,NA,NA
"1994-10-01",NA,-0.245192,NA,NA
"1994-11-01",NA,-0.028662,NA,NA
"1994-12-01",NA,0.016393,NA,NA
"1995-01-01",NA,-0.122581,NA,NA
"1995-02-01",NA,-0.003676,NA,NA
"1995-03-01",NA,0.03321,NA,NA
"1995-04-01",NA,-0.096429,NA,NA
"1995-05-01",NA,-0.019763,NA,NA
"1995-06-01",NA,-0.008065,NA,NA
"1995-07-01",NA,0.113821,NA,NA
"1995-08-01",NA,0.671756,NA,NA
"1995-09-01",NA,-0.045662,NA,NA
"1995-10-01",NA,0.019139,NA,NA
"1995-11-01",NA,-0.133803,NA,NA
"1995-12-01",NA,-0.186992,NA,NA
"1996-01-01",NA,0.013333,NA,NA
"1996-02-01",NA,-0.003289,NA,NA
"1996-03-01",NA,-0.019802,NA,NA
"1996-04-01",NA,0.195286,NA,NA
"1996-05-01",NA,-0.129577,NA,NA
"1996-06-01",NA,0.048544,NA,NA
"1996-07-01",NA,0.469136,NA,NA
"1996-08-01",NA,-0.107143,NA,NA
"1996-09-01",NA,-0.007059,NA,NA
"1996-10-01",NA,0.876777,NA,NA
"1996-11-01",NA,0.05303,NA,NA
"1996-12-01",NA,-0.329736,NA,NA
"1997-01-01",NA,0.173524,NA,NA
"1997-02-01",NA,0.11128,NA,NA
"1997-03-01",NA,0.076818,NA,NA
"1997-04-01",NA,-0.047134,NA,NA
"1997-05-01",NA,0.300802,NA,NA
"1997-06-01",0.025641,-0.033916,NA,NA
"1997-07-01",-0.089167,-0.22234,NA,NA
"1997-08-01",-0.167429,-0.004104,NA,NA
"1997-09-01",-0.032418,-0.141484,NA,NA
"1997-10-01",0.123793,0.232,NA,NA
"1997-11-01",0.071248,-0.067532,NA,NA
"1997-12-01",0.171698,-0.066852,NA,NA
"1998-01-01",-0.002818,-0.056716,NA,NA
"1998-02-01",-0.099717,-0.003165,NA,NA
"1998-03-01",-0.073991,0.004762,NA,NA
"1998-04-01",0.066828,0.06793,NA,NA
"1998-05-01",0.034952,0.076923,NA,NA
"1998-06-01",-0.017544,-0.034341,NA,NA
"1998-07-01",-0.062844,-0.116643,NA,NA
"1998-08-01",-0.117645,-0.217391,NA,NA
"1998-09-01",0.090129,0.057613,NA,NA
"1998-10-01",-0.015129,-0.011673,NA,NA
"1998-11-01",0.082405,0.003937,NA,NA
"1998-12-01",-0.053498,-0.105882,NA,NA
"1999-01-01",-0.024638,-0.015351,NA,NA
"1999-02-01",-0.063893,-0.060134,NA,NA
"1999-03-01",0.000794,0.189573,NA,NA
"1999-04-01",-0.057098,-0.049801,NA,NA
"1999-05-01",0.084945,-0.044025,NA,NA
"1999-06-01",0.344186,0.342105,NA,NA
"1999-07-01",-0.174164,-0.076797,NA,NA
"1999-08-01",0.052822,0.086726,NA,NA
"1999-09-01",-0.018557,-0.07329,NA,NA
"1999-10-01",0.016807,-0.033392,NA,NA
"1999-11-01",0.020661,-0.094545,NA,NA
"1999-12-01",-0.024291,-0.164659,NA,NA
"2000-01-01",0.169433,-0.014423,NA,NA
"2000-02-01",-0.09521,0.146341,NA,NA
"2000-03-01",0.058824,0.13617,NA,NA
"2000-04-01",0.046914,-0.029963,NA,NA
"2000-05-01",-0.037146,NA,NA,NA
"2000-06-01",0.115738,0.15251,NA,NA
"2000-07-01",-0.055434,0.20603,NA,NA
"2000-08-01",-0.006973,0.004167,NA,NA
"2000-09-01",-0.028672,-0.139696,NA,NA
"2000-10-01",0.041327,0.054662,NA,NA
"2000-11-01",0.015924,0.106707,NA,0.023758
"2000-12-01",0.060188,-0.019284,NA,0.042194
"2001-01-01",0.05204,0.109551,NA,-0.023887
"2001-02-01",-0.003935,-0.067089,NA,-0.104936
"2001-03-01",0.023702,0.157395,NA,0.080167
"2001-04-01",0.007718,-0.022274,NA,0.034749
"2001-05-01",-0.030088,0.055156,NA,0.095357
"2001-06-01",-0.015792,0.006818,NA,0.245269
"2001-07-01",-0.098567,-0.187359,NA,-0.017988
"2001-08-01",-0.044283,0.034722,NA,-0.059298
"2001-09-01",-0.017981,-0.14094,NA,-0.034653
"2001-10-01",-0.092958,0.0375,NA,-0.042466
"2001-11-01",0.065994,0.079819,NA,0.163805
"2001-12-01",0.005098,-0.093445,NA,-0.111862
"2002-01-01",0.057971,0.04,NA,-0.128028
"2002-02-01",0.032192,-0.005917,NA,0.100794
"2002-03-01",-0.014599,0.004464,NA,0.038212
"2002-04-01",0.002694,0.382222,NA,0.020833
"2002-05-01",-0.06718,-0.150054,NA,-0.132653
"2002-06-01",0.115529,0.190416,NA,0.176285
"2002-07-01",-0.031607,0.008475,NA,0.018145
"2002-08-01",0.027083,0.012605,NA,-0.029703
"2002-09-01",-0.053414,-0.112033,NA,-0.059184
"2002-10-01",-0.031429,0.016355,NA,0.003615
"2002-11-01",-0.028024,-0.063218,NA,-0.143228
"2002-12-01",-0.061457,-0.092025,NA,-0.012101
"2003-01-01",0.071948,0.133784,NA,0.0902
"2003-02-01",-0.015083,0.067938,NA,-0.006129
"2003-03-01",0.046708,0.051339,NA,0.06372
"2003-04-01",0.060717,0.355626,NA,0
"2003-05-01",-0.004828,0.018794,NA,0.119807
"2003-06-01",-0.065835,-0.161414,NA,-0.059534
"2003-07-01",0.000742,0.081577,NA,0.001835
"2003-08-01",-0.088955,-0.10678,-0.011447,-0.047619
"2003-09-01",-0.085435,0.01518,-0.008685,-0.018269
"2003-10-01",0.048932,0.034906,0.011264,0.000979
"2003-11-01",-0.006785,-0.004558,-0.046617,0.090998
"2003-12-01",0.163962,-0.044872,0.070532,0.121076
"2004-01-01",0.093177,0.027804,0.11439,0.1792
"2004-02-01",0.150336,0.100746,0.022125,-0.056988
"2004-03-01",0.048425,-0.109322,0.034422,0.183022
"2004-04-01",-0.17557,-0.101808,-0.037736,-0.065717
"2004-05-01",0.034339,-0.145127,-0.06631,-0.139831
"2004-06-01",-0.070423,-0.141264,-0.109381,-0.077833
"2004-07-01",-0.07684,-0.026549,-0.16521,0.021368
"2004-08-01",-0.12075,0.027273,-0.014136,-0.155858
"2004-09-01",0.18,-0.011799,0.11418,0.075589
"2004-10-01",-0.048588,-0.237313,-0.07674,-0.073733
"2004-11-01",0.066508,0.039139,-0.033041,0.033582
"2004-12-01",0.055679,-0.024482,-0.081687,-0.12515
"2005-01-01",0.016878,-0.142857,-0.084302,-0.011004
"2005-02-01",0.060166,0.182432,0.161905,0.10153
"2005-03-01",-0.105675,-0.16381,-0.150273,-0.236111
"2005-04-01",0.124289,-0.123007,0.090032,-0.008264
"2005-05-01",-0.055851,0.033766,0.129794,0.003333
"2005-06-01",0.05493,0.163317,0.140104,0.096085
"2005-07-01",0.030708,0.051836,-0.020806,-0.029221
"2005-08-01",-0.050518,0.252119,-0.084993,0.132107
"2005-09-01",-0.005457,-0.054146,-0.087083,-0.053176
"2005-10-01",-0.083676,-0.046512,-0.09062,-0.062402
"2005-11-01",0.013473,0.018762,0.045455,-0.071547
"2005-12-01",0.070901,0.103131,0.110368,0.148746
"2006-01-01",0.009655,NA,-0.028614,0.132605
"2006-02-01",0.09153,0.100167,-0.062016,-0.002755
"2006-03-01",0.165181,0.026667,0.191736,0.302486
"2006-04-01",0.246761,0.187384,0.190014,0.240721
"2006-05-01",0.128326,0.264063,0.278555,0.188034
"2006-06-01",0.151179,0.131026,0.311759,NA
"2006-07-01",-0.019277,0.032787,-0.19458,-0.064762
"2006-08-01",0.055283,0.065591,0.093184,0.082485
"2006-09-01",-0.046566,-0.08779,0.286504,0.062088
"2006-10-01",0.14652,-0.094027,0.171166,0.157662
"2006-11-01",0.067093,0.092796,0.113148,0.248661
"2006-12-01",0.314371,0.385475,0.516706,0.362132
"2007-01-01",0.222475,0,0.118213,-0.05578
"2007-02-01",0.008696,0.082258,-0.042175,0.219628
"2007-03-01",0.002463,-0.006706,0.178737,0.034766
"2007-04-01",0.336609,0.144786,0.52519,0.55134
"2007-05-01",0.119473,0.048493,0.14743,0.353672
"2007-06-01",0.144538,0.02375,0.246267,0.039136
"2007-07-01",0.054699,0.132479,0.030522,0.042857
"2007-08-01",0.015663,0.11726,0.145459,0.173101
"2007-09-01",0.163468,0.200589,-0.022218,-0.073036
"2007-10-01",-0.028277,-0.097222,0.251714,0.274622
"2007-11-01",-0.133374,-0.210407,-0.312363,-0.16478
"2007-12-01",0.205317,0.199427,0.298134,0.236015
"2008-01-01",-0.024376,-0.014811,-0.073282,-0.048738
"2008-02-01",-0.053837,0.13967,0.0437,0.054163
"2008-03-01",-0.213141,-0.388511,-0.296538,-0.236244
"2008-04-01",0.063124,0.132916,-0.015718,-0.041364
"2008-05-01",-0.159301,-0.14312,-0.00445,NA
"2008-06-01",-0.203959,-0.37276,-0.268735,-0.34092
"2008-07-01",0.0211,0.091429,0.126933,0.046931
"2008-08-01",-0.027306,0.054054,-0.264621,-0.242069
"2008-09-01",-0.075873,0.066667,0.059322,0.33849
"2008-10-01",-0.3711,-0.351923,-0.310769,-0.346703
"2008-11-01",0.082245,0.231454,0.45625,0.420395
"2008-12-01",0.085645,0.012048,-0.141018,-0.180952
"2009-01-01",0.112222,0.089286,0.397573,0.331843
"2009-02-01",0.06993,0.114754,0.045965,0.255876
"2009-03-01",0.098973,0.295098,0.146973,0.118717
"2009-04-01",0.146984,0.177139,0.111963,0.018642
"2009-05-01",-0.074815,-0.082315,-0.028714,-0.067574
"2009-06-01",0.031119,0.012614,0.141112,0.123805
"2009-07-01",0.209625,0.4,0.157108,0.176399
"2009-08-01",-0.16588,-0.169594,-0.143587,-0.0971
"2009-09-01",0.183508,0.096677,0.163802,0.112663
"2009-10-01",0.295765,0.326171,0.085292,0.12887
"2009-11-01",-0.020032,-0.051932,0.007498,-0.031875
"2009-12-01",0.075309,0.007011,0.014609,-0.004211
"2010-01-01",-0.087044,-0.162315,-0.162184,-0.15148
"2010-02-01",-0.000548,0.114805,0.060311,0.056638
"2010-03-01",0.019189,-0.002796,0.037003,0.014151
"2010-04-01",0.008607,0.06215,-0.176644,-0.148837
"2010-05-01",-0.140267,-0.181258,-0.029728,-0.097367
"2010-06-01",-0.013889,-0.032778,0.017534,-0.09191
"2010-07-01",0.156942,0.361111,0.257252,0.396923
"2010-08-01",0.146087,0.161599,0.195908,0.210132
"2010-09-01",0.057663,0.072069,0.065162,-0.027473
"2010-10-01",0.151124,0.046154,0.523821,0.419021
"2010-11-01",-0.090985,-0.116049,0.022201,-0.041141
"2010-12-01",-0.038848,-0.003978,-0.000462,-0.021453
"2011-01-01",0.190204,-0.003268,0.0319,-0.016266
"2011-02-01",0.065521,0.09071,0.129032,0.092739
"2011-03-01",-0.08399,0.152305,0.107937,0.017105
"2011-04-01",-0.077773,-0.182319,-0.012536,-0.010996
"2011-05-01",-0.034621,-0.108118,-0.083969,-0.064748
"2011-06-01",0.078788,0.044118,0.07381,0.075524
"2011-07-01",-0.038894,-0.02284,-0.052661,-0.006827
"2011-08-01",-0.064748,-0.093248,-0.055003,-0.073593
"2011-09-01",-0.053365,-0.10727,-0.10774,-0.111215
"2011-10-01",0.074657,0.099801,0.042332,0.026288
"2011-11-01",0.128544,-0.079007,-0.1751,-0.16291
"2011-12-01",-0.009213,-0.020098,0.012107,-0.058752
"2012-01-01",0.043956,0.097049,0.133174,0.184655
"2012-02-01",0.116564,0.057912,0.026038,0.053787
"2012-03-01",-0.025281,-0.072414,-0.158436,-0.097917
"2012-04-01",0.053932,0.045539,0.151589,0.144342
"2012-05-01",-0.082422,0.073333,0.057325,0.094854
"2012-06-01",-0.031479,-0.115942,-0.068273,-0.075576
"2012-07-01",0.015138,-0.197658,-0.144397,-0.042871
"2012-08-01",0.017982,-0.105101,-0.146096,-0.127083
"2012-09-01",-0.062042,-0.011676,-0.027356,0.060271
"2012-10-01",-0.020671,0.025712,-0.064583,-0.026682
"2012-11-01",-0.02439,-0.03252,-0.092428,-0.052443
"2012-12-01",0.211538,0.259104,0.299387,0.158491
"2013-01-01",0.091667,0.026696,0.086874,0.004343
"2013-02-01",0.002545,-0.042254,0.024327,0.014054
"2013-03-01",0.037346,-0.114819,-0.148431,-0.142857
"2013-04-01",-0.036351,-0.007029,-0.027888,-0.058458
"2013-05-01",0.207109,0.12677,-0.053279,-0.067371
"2013-06-01",0.012707,-0.125642,-0.187229,-0.230878
"2013-07-01",-0.055646,0.073808,-0.08522,-0.033149
"2013-08-01",-0.000578,0.013342,0.087336,0.051485
"2013-09-01",0.063584,0.031975,0.041551,0.062147
"2013-10-01",-0.130978,0.130012,-0.055851,0.015957
"2013-11-01",0.073796,0.182258,0.009859,0
"2013-12-01",0.022714,0.155525,-0.104603,-0.048866
"2014-01-01",0.02164,-0.035813,-0.074766,-0.073394
"2014-02-01",0.008919,-0.058367,-0.031987,-0.009901
"2014-03-01",-0.112707,0.019072,-0.033043,-0.026
"2014-04-01",0.051681,0.125904,-0.057554,-0.069815
"2014-05-01",-0.052102,0.072157,-0.005725,0
"2014-06-01",0.040619,0.021142,-0.03263,-0.022075
"2014-07-01",0.149318,0.067633,0.119048,0.06772
"2014-08-01",-0.009164,0.001327,-0.005319,0.010571
"2014-09-01",-0.008161,-0.03478,0.065574,0.056156
"2014-10-01",0.020296,-0.039808,0.022222,-0.00409
"2014-11-01",0.003763,0.079342,0.098662,0.059548
"2014-12-01",0.196036,0.003311,0.519026,0.368217
"2015-01-01",0.145992,0.266007,-0.184369,-0.133144
"2015-02-01",0.087143,0.035193,0.046683,0.022876
"2015-03-01",0.066499,0.082347,0.188967,0.169329
"2015-04-01",0.032019,-0.041415,0.024679,0.07377
"2015-05-01",0.149086,-0.098786,0.254335,0.136132
"2015-06-01",-0.098289,-0.011581,-0.252074,-0.091825
"2015-07-01",-0.057908,-0.128338,-0.214654,-0.261406
"2015-08-01",-0.029959,-0.206641,-0.093298,-0.03172
"2015-09-01",0.001065,0.04998,-0.078261,-0.132174
"2015-10-01",0.165957,0.124226,0.055031,0.048096
"2015-11-01",-0.038321,-0.018933,-0.043219,-0.024857
"2015-12-01",0.066888,0.05193,0.024922,0.04902
"2016-01-01",-0.169409,-0.150767,-0.268997,-0.188785
"2016-02-01",0.011777,-0.049489,0.016632,-0.057604
"2016-03-01",0.025397,0.089669,0.163599,0.122249
"2016-04-01",0.058308,-0.070914,-0.050967,-0.067538
"2016-05-01",0.028766,-0.015102,-0.057407,-0.028037
"2016-06-01",0.010204,0.009532,-0.013752,-0.007212
"2016-07-01",0.160101,0.065681,0.037849,0.012107
"2016-08-01",-0.058337,0.119134,0.017274,0.045455
"2016-09-01",0.01988,0.038351,0.034026,0.097156
"2016-10-01",-0.023119,-0.036935,0.074954,-0.012959
"2016-11-01",-0.023202,0.105735,0.105442,0.041575
"2016-12-01",-0.069359,-0.124797,-0.061538,-0.046218
"2017-01-01",0.034201,0.024074,0.127869,0.002203
"2017-02-01",0.002468,0.027125,0.061047,0.063736
"2017-03-01",0.057607,-0.037676,-0.013699,-0.012397
"2017-04-01",-0.062384,-0.167216,-0.023611,-0.060669
